"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","948","20","ERROR","实体删除成功","return Results.Ok(new SuccessResponse(""实体删除成功""));","I18n.T(""MSG_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","976","24","ERROR","发布失败","return Results.BadRequest(new ErrorResponse(result.ErrorMessage ?? ""发布失败"", ""PUBLISH_FAILED""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","976","47","ERROR","发布失败","return Results.BadRequest(new ErrorResponse(result.ErrorMessage ?? ""发布失败"", ""PUBLISH_FAILED""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1035","24","ERROR","发布失败","return Results.BadRequest(new ErrorResponse(result.ErrorMessage ?? ""发布失败"", ""PUBLISH_FAILED""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1035","47","ERROR","发布失败","return Results.BadRequest(new ErrorResponse(result.ErrorMessage ?? ""发布失败"", ""PUBLISH_FAILED""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1095","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1095","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1182","24","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""CODE_GENERATION_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1182","47","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""CODE_GENERATION_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1206","28","ERROR","编译失败","return Results.BadRequest(new ErrorResponse(""编译失败"", new Dictionary<string, string[]>","I18n.T(""ERR_XXX"")"
